crop,nitrogen,phosphorus,potassium,rainfall,temperature,soil_ph,state,yield
Wheat,80,40,40,800,25.5,6.5,Rajasthan,30
Wheat,85,42,38,750,24.0,6.8,Rajasthan,32
Wheat,75,35,45,850,26.0,6.2,Punjab,35
Wheat,90,45,42,820,23.5,6.6,Punjab,38
Wheat,78,38,39,780,25.0,6.4,Haryana,33
Rice,100,50,50,1200,28.5,6.0,West Bengal,42
Rice,110,48,55,1150,29.0,5.8,West Bengal,40
Rice,95,55,48,1300,27.5,6.2,Punjab,45
Rice,105,52,52,1250,28.0,6.1,Andhra Pradesh,43
Rice,98,45,45,1100,29.5,5.9,Andhra Pradesh,39
Maize,60,30,30,600,26.5,6.5,Madhya Pradesh,24
Maize,65,32,28,620,27.0,6.7,Madhya Pradesh,26
Maize,55,28,35,580,26.0,6.4,Maharashtra,22
Maize,70,35,32,650,25.5,6.6,Maharashtra,28
Cotton,120,60,60,900,30.5,6.8,Gujarat,14
Cotton,115,58,65,850,31.0,7.0,Gujarat,16
Cotton,125,62,55,950,29.5,6.5,Maharashtra,18
Cotton,110,55,58,880,30.0,6.9,Telangana,15
Sugarcane,150,75,75,1500,28.5,6.5,Uttar Pradesh,75
Sugarcane,160,80,70,1450,29.0,6.7,Uttar Pradesh,82
Sugarcane,140,70,80,1600,27.5,6.4,Maharashtra,78
Sugarcane,145,72,78,1550,28.0,6.6,Maharashtra,80
Wheat,82,41,39,810,24.5,6.5,Uttar Pradesh,31
Rice,102,51,51,1220,28.2,6.0,Tamil Nadu,41
Maize,62,31,29,610,26.8,6.6,Karnataka,25
Cotton,118,59,62,920,30.2,6.7,Andhra Pradesh,15
Sugarcane,155,78,72,1480,28.8,6.5,Tamil Nadu,79
